id,intent,query
E101,ANOMALY_CHECK,"Etcher 7번에서 금일 2런 연속 엔드포인트 SNR이 20% 낮아졌습니다. 야간 첫 런은 정상, 이후 런에서만 저하가 반복됩니다. RF 매칭 튜너 셋틀 시간과 가스 전환 타이밍 로그를 함께 확인해 설비 이상 여부와 즉시 점검 필요 여부를 판단해 주세요."
E102,ANOMALY_CHECK,"CVD 3번에서 Gas_Flow 튐 알람이 밸브 전환 직후 집중적으로 발생합니다. 레시피와 캐리어는 동일 조건입니다. MFC 응답 지연/라인 압력 드롭/백프레셔 상관을 교차 검토해 즉시 점검 필요 여부를 판단해 주세요."
E103,ANOMALY_CHECK,"Photo 12번 스테이지 Z축 드리프트 보정 횟수가 교대 이후 증가했습니다. 포커스 맵 일부 영역 잔차가 커지고 리워크가 늘었습니다. 환경(온습도/진동)과 자가진단 결과를 근거로 설비 이상 여부를 판단해 주세요."
E104,ANOMALY_CHECK,"PVD 6번 타겟 컨디셔닝 직후 첫 런에서만 파티클 카운트가 급증했습니다. 컨디 전후 전력/압력/진공 회복 로그를 비교해 타겟 표면/배기 계통 중 원인을 판정하고 즉시 점검 필요 여부를 판단해 주세요."
E105,ANOMALY_CHECK,"Diffusion 4번 퍼니스 쿨다운 후반부 배기 압력 변동이 평소보다 큽니다. 같은 시점에 온도 하강 속도 들쭉날쭉, 산화 두께 산포 확대가 동반됩니다. 배기 라인 누설/팬 제어/씰 상태를 확인해 즉시 정지 필요 여부를 판단해 주세요."
E106,ANOMALY_CHECK,"CMP 2번 패드 컨디셔닝 후 첫 두 런에서만 엔드포인트 시그널 약화가 반복됩니다. 이후 런은 정상 회복 패턴입니다. 컨디셔너 토크/슬러리 유량/패드 온도 로그로 기계적 접촉 불안정 여부를 판단해 주세요."
E107,ANOMALY_CHECK,"RTP 8번 램프업 초기 15초 구간 온도 상승률이 들쭉날쭉합니다. 오전 연속 3런 재현, 시트저항 산포 증가 동반. 열전대 입력/램프 전류/냉각풍 제어 로그 기반으로 설비 이상 여부를 판단해 주세요."
E108,ANOMALY_CHECK,"Wet 10번 드라이 후 잔류 수분 알람이 특정 캐리어에서만 발생합니다. 동일 캐리어 2런 재현, 타 캐리어 정상. 캐리어 홀 패턴/회전 균형/노즐 분사 맵 불일치를 점검해 즉시 보전 필요 여부를 판단해 주세요."
E109,ANOMALY_CHECK,"Implanter 5번 빔 커런트 안정화 시간이 평균 대비 25초 길어졌고 동일 반경에서 도즈 편차가 반복됩니다. 소스 온도/자석 전류/챔버 진공 로그를 종합해 설비 이상 여부를 판단해 주세요."
E110,ANOMALY_CHECK,"ALD 1번 펄스 간 압력 회복이 최근 12시간 5% 더 느려졌습니다. 사이클 타임 증가와 표면 거칠기 악화가 의심됩니다. 밸브 타이밍/배기능/백프레셔 로그를 확인해 즉시 보전 필요 여부를 판단해 주세요."
E111,ANOMALY_CHECK,"Etcher 14번 점화 직후 10초간 챔버 압력이 계단형으로 출렁입니다. 동일 레시피 2런 연속 재현, 엔드포인트 SNR 15% 하락. 펌프 응답/가스 전환/매칭 튜너 로그로 즉시 점검 필요 여부를 판단해 주세요."
E112,ANOMALY_CHECK,"CVD 11번 히터 존 간 온도 편차가 스펙 상한 근처까지 증가했습니다. 첫 런 정상, 이후 런에서 편차 확대 추세. 히터 드라이브 전류/써미스터 캘리브 상태를 확인해 즉시 다운 필요 여부를 판단해 주세요."
E113,ANOMALY_CHECK,"PVD 9번 진공 회복 시간이 특정 로드록 포트에서만 지연됩니다. 같은 포트 사용 시 파티클도 소폭 증가합니다. 포트 씰/오링/밸브 동작 로그를 근거로 즉시 교체 필요 여부를 판단해 주세요."
E114,ANOMALY_CHECK,"Photo 6번 레티클 교체 후 샷 경계부 오버레이 잔차가 급증했습니다. 동일 레티클 2런 재현, 타 레티클 정상. 레티클 클리닝/클램프/스테이지 진공 로그를 확인해 즉시 점검 필요 여부를 판단해 주세요."
E115,ANOMALY_CHECK,"RTP 2번 램프다운 구간 온도 흔들림이 특정 레시피에서만 발생합니다. 동일 레시피/캐리어 기준 두 런 연속 재현. 제어 루프 이상 여부를 로그로 판정하고 즉시 점검 필요 여부를 판단해 주세요."
E116,ANOMALY_CHECK,"Etcher 1번 RF_Power 리플이 특정 가스 조합에서만 증가합니다. 동일 조합 두 런 재현, 오버에칭 위험. 스펙트럼/광학 게인/발광 트렌드로 즉시 점검 필요 여부를 판단해 주세요."
E117,ANOMALY_CHECK,"CVD 7번 링 온도 센서가 간헐적으로 튀며 해당 시점 막두께 국부 불균일이 동반됩니다. 센서 케이블/노이즈/열적 불안정 중 유력 원인을 판정하고 즉시 보전 필요 여부를 판단해 주세요."
E118,ANOMALY_CHECK,"PVD 12번 타겟 교체 후 첫 4런 정상, 이후 2런 저막 3% 발생. 진공 회복/전력 램프/배기 로그를 교차해 초기 컨디셔닝 이슈 vs 설비 이상을 구분하고 즉시 점검 필요 여부를 판단해 주세요."
