id,intent,query
D001,ANOMALY_CHECK,"Wet 12번에서 로딩 직후 1분간 회전 안정도가 반복적으로 흔들립니다. 동일 캐리어에서 두 런 연속 재현되었고, 건조 실패가 간헐 발생했습니다. 전류/진동/레벨 센서 로그를 교차 확인해 설비 이상 여부와 즉시 점검 필요 여부를 판단해 주세요."
D002,ANOMALY_CHECK,"CVD 9번에서 Gas_Flow 튐 알람이 밸브 전환 직후 집중됩니다. 레시피와 로트 조건은 동일합니다. MFC 응답 지연/라인 압력 드롭/백프레셔 상관을 분석해 긴급 정지 검토가 필요한지 판단해 주세요."
D003,ANOMALY_CHECK,"Etcher 7번에서 엔드포인트 스펙트럼 기저 노이즈가 야간에만 상승합니다. 같은 시간대 RF 매칭 튜너 셋틀 지연도 보입니다. 접지/전원 품질/펌프 상태 로그를 근거로 설비 이상 신호인지 즉시 점검 필요 여부를 판단해 주세요."
D004,ANOMALY_CHECK,"RTP 2번의 램프업 초기 15초 구간 온도 상승률이 들쭉날쭉합니다. 금일 오전 연속 3런에서 재현되었고, 시트저항 산포가 커졌습니다. 열전대 입력/램프 전류/냉각풍 제어 로그 기반으로 설비 이상 여부를 평가해 즉시 보전 필요성을 판단해 주세요."
D005,ANOMALY_CHECK,"PVD 5번에서 타겟 컨디셔닝 직후 첫 런에만 파티클 카운트가 급등합니다. 컨디 전후 압력/전력/진공 회복 시간 비교가 필요합니다. 타겟 표면 상태 문제인지 배기 계통 문제인지 구분 진단하고 즉시 점검 필요 여부를 알려 주세요."
D006,ANOMALY_CHECK,"Implanter 6번에서 빔 커런트 안정화 시간이 평균 대비 25초 길어졌고 동일 웨이퍼 반경에서 도즈 편차가 반복됩니다. 소스 온도/자석 전류/챔버 진공 로그를 종합해 설비 이상 여부와 긴급 보전 우선순위를 판단해 주세요."
D007,ANOMALY_CHECK,"Photo 10번에서 스테이지 Z축 드리프트 보정 횟수가 교대 이후 증가했습니다. 포커스 맵 일부 영역 잔차가 커지고 리워크가 늘었습니다. 환경 로그(온습도/진동)와 자가진단 결과로 즉시 점검 필요 여부를 판단해 주세요."
D008,ANOMALY_CHECK,"Diffusion 4번 퍼니스 쿨다운 후반부 배기 압력 변동이 평소보다 큽니다. 온도 하강 속도도 들쭉날쭉했고 산화 두께 산포가 확대됐습니다. 배기 라인 누설/팬 제어/챔버 씰 상태를 중심으로 즉시 정지 필요 여부를 판단해 주세요."
D009,ANOMALY_CHECK,"CMP 3번에서 패드 컨디셔닝 후 첫 두 런의 엔드포인트 시그널이 약합니다. 이후는 정상 회복 패턴입니다. 컨디셔너 토크/슬러리 유량/패드 온도 로그 기반으로 기계적 접촉 불안정 혹은 공급 문제 여부를 판단해 주세요."
D010,ANOMALY_CHECK,"ALD 1번에서 펄스 간 압력 회복이 느려지고 있습니다. 지난 12시간 사이클 타임이 5% 증가했고 표면 거칠기 악화가 의심됩니다. 밸브 타이밍/배기능/백프레셔 로그를 확인해 즉시 보전 필요성을 판단해 주세요."
