id,intent,query
Q001,ANOMALY_CHECK,"12번 Wet에서 최근 두 런 연속으로 플래튼 회전이 불안정합니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 Wet 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q002,ANOMALY_CHECK,"어제 야간부터 15번 CMP 챔버에서 Defect 관련 경고가 간헐적으로 떴습니다. 레시피는 동일하고 웨이퍼 배치는 바뀌지 않았습니다. CMP 공정 장비 상태 이상 여부를 모니터링 기준으로 평가해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q003,ANOMALY_CHECK,"어제 야간부터 6번 Implanter 챔버에서 Alignment 관련 경고가 간헐적으로 떴습니다. 레시피는 동일하고 웨이퍼 배치는 바뀌지 않았습니다. Implant 공정 장비 상태 이상 여부를 모니터링 기준으로 평가해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q004,ANOMALY_CHECK,"8번 PVD에서 최근 두 런 연속으로 압력이 들쭉날쭉합니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 PVD 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q005,ANOMALY_CHECK,"4번 Implanter에서 최근 두 런 연속으로 플래튼 회전이 불안정합니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 Implant 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q006,ANOMALY_CHECK,"어제 야간부터 9번 CVD 챔버에서 Gas_Flow 관련 경고가 간헐적으로 떴습니다. 레시피는 동일하고 웨이퍼 배치는 바뀌지 않았습니다. CVD 공정 장비 상태 이상 여부를 모니터링 기준으로 평가해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q007,ANOMALY_CHECK,"7번 Etcher에서 최근 두 런 연속으로 챔버 압력이 흔들립니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 Etching 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q008,ANOMALY_CHECK,"어제 야간부터 5번 Wet 챔버에서 Pressure 관련 경고가 간헐적으로 떴습니다. 레시피는 동일하고 웨이퍼 배치는 바뀌지 않았습니다. Wet 공정 장비 상태 이상 여부를 모니터링 기준으로 평가해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q009,ANOMALY_CHECK,"1번 Diffusion에서 최근 두 런 연속으로 프로파일 드리프트가 발생합니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 Diffusion 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q010,ANOMALY_CHECK,"1번 CMP에서 최근 두 런 연속으로 온도가 목표보다 낮습니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 CMP 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q011,ANOMALY_CHECK,"어제 야간부터 16번 Diffusion 챔버에서 Thickness 관련 경고가 간헐적으로 떴습니다. 레시피는 동일하고 웨이퍼 배치는 바뀌지 않았습니다. Diffusion 공정 장비 상태 이상 여부를 모니터링 기준으로 평가해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."
Q012,ANOMALY_CHECK,"7번 Implanter에서 최근 두 런 연속으로 프로파일 드리프트가 발생합니다. 금일 첫 런은 정상처럼 보였는데 두 번째 런부터 이상이 커지는 패턴입니다. 로그와 센서 트렌드를 기준으로 Implant 공정의 즉시 점검 필요 여부를 판단해 주세요. 참고로 해당 로트는 공정 조건을 변경하지 않았고, 동일 캐리어를 사용했습니다."

Q013,PREDICTION,"Lithography 공정의 11번 Photo에서 최근 24시간 Alignment 오프셋 분산이 완만히 증가하고 있습니다. 다음 교대까지 동일 조건으로 가동할 경우 보정 실패율이 어느 정도까지 올라갈지 예측해 주세요. 임계치 도달 예상 시점도 같이 알려 주세요. 참고로 이번 주에는 노광 조건 변경이 없었고, 레지스트 롯도 동일합니다."
Q014,PREDICTION,"CVD 공정의 3번 CVD에서 Gas_Flow 튐 현상이 미세하게 늘고 있습니다. 현재 수준이면 바로 불량으로 이어지진 않지만, 다음 48시간 연속 운전 시 막두께 산포에 미칠 영향을 정량 예측해 주세요. 위험 구간에 들어가는 시간대도 함께 제시해 주세요. 참고로 MFC 캘리브는 지난주 수행했습니다."
