id,query,expected_intent_type,expected_priority
1,3번 엣칭 장비 압력이 이상해요,ANOMALY_CHECK,HIGH
2,CVD 장비 온도가 너무 높은 것 같아요,ANOMALY_CHECK,HIGH
3,5번 장비에서 이상한 소리가 나요,ANOMALY_CHECK,HIGH
4,플라즈마 챔버 압력 센서 상태 확인해주세요,ANOMALY_CHECK,MEDIUM
5,웨이퍼 처리 중 에러가 발생했어요,ANOMALY_CHECK,HIGH
6,증착 장비 진공도가 평소와 달라요,ANOMALY_CHECK,HIGH
7,2번 라인 생산이 갑자기 멈췄어요,ANOMALY_CHECK,HIGH
8,식각 공정에서 불량률이 급증했습니다,ANOMALY_CHECK,HIGH
9,챔버 내부 온도 센서가 오작동하는 것 같아요,ANOMALY_CHECK,HIGH
10,가스 유량계 수치가 불안정해요,ANOMALY_CHECK,MEDIUM
11,RF 파워 공급이 간헐적으로 끊어져요,ANOMALY_CHECK,HIGH
12,2024년 1월 공정 상태 정리해줘,STATUS_SUMMARY,MEDIUM
13,2024년 1월~2월 공정 상태 보여줘,STATUS_SUMMARY,MEDIUM
14,지난달 전체 장비 가동률은 어떻게 됐나요,STATUS_SUMMARY,LOW
15,1월 첫째 주 이상 발생 건수 확인해주세요,STATUS_SUMMARY,MEDIUM
16,2월 CVD 라인 전체 상태 리포트 생성해줘,STATUS_SUMMARY,MEDIUM
17,올해 1분기 공정 트렌드 분석해주세요,STATUS_SUMMARY,LOW
18,작년 같은 기간 대비 장비 성능 비교해줘,STATUS_SUMMARY,LOW
19,2024년 2월 3주차 주간 리포트 보여줘,STATUS_SUMMARY,MEDIUM
20,1~3월 장비별 가동 시간 통계 정리해줘,STATUS_SUMMARY,MEDIUM
21,2월 말 전체 라인 상태 요약해주세요,STATUS_SUMMARY,MEDIUM
22,최근 한 달간 주요 이벤트 timeline 만들어줘,STATUS_SUMMARY,LOW
23,Q1 분기별 KPI 달성률 확인해주세요,STATUS_SUMMARY,LOW
24,2024년 상반기 예정된 점검 일정 보여줘,SCHEDULE_CHECK,LOW
25,다음 주 예방 정비 계획 확인해줘,SCHEDULE_CHECK,MEDIUM
26,이번 달 남은 점검 항목 리스트 보여줘,SCHEDULE_CHECK,MEDIUM
27,연간 정기 점검 스케줄 업데이트해줘,SCHEDULE_CHECK,LOW
28,로드락 시스템에 문제가 있는 것 같습니다,ANOMALY_CHECK,MEDIUM
29,전체 장비 상태를 점검해주세요,ANOMALY_CHECK,MEDIUM
30,냉각수 온도가 설정값을 벗어났어요,ANOMALY_CHECK,HIGH
31,진공 펌프에서 이상 진동이 감지됩니다,ANOMALY_CHECK,HIGH
32,웨이퍼 이송 로봇이 제대로 작동하지 않아요,ANOMALY_CHECK,HIGH
33,플라즈마 점화가 불안정합니다,ANOMALY_CHECK,HIGH
34,마스크 정렬 시스템 오차가 커요,ANOMALY_CHECK,HIGH
35,화학 기상 증착 중 가스 누출이 의심됩니다,ANOMALY_CHECK,HIGH
36,스퍼터링 타겟 상태를 확인해주세요,ANOMALY_CHECK,MEDIUM
37,이온 주입 장비 빔 전류가 불안정해요,ANOMALY_CHECK,HIGH
38,포토리소그래피 노광 강도가 이상해요,ANOMALY_CHECK,HIGH
39,CMP 장비 패드 압력이 불균등합니다,ANOMALY_CHECK,MEDIUM
40,배기 시스템 효율이 떨어진 것 같아요,ANOMALY_CHECK,MEDIUM
41,웨이퍼 카세트 로딩에 문제가 있어요,ANOMALY_CHECK,MEDIUM
42,플라즈마 밀도 분포가 불균일해요,ANOMALY_CHECK,HIGH
43,반응성 이온 식각 속도가 느려졌어요,ANOMALY_CHECK,HIGH
44,열처리로 온도 프로파일이 이상합니다,ANOMALY_CHECK,HIGH
45,클린룸 입자 농도가 기준치를 초과했어요,ANOMALY_CHECK,HIGH
46,장비 알람이 계속 울리고 있어요,ANOMALY_CHECK,HIGH
47,생산 수율을 개선하고 싶어요,OPTIMIZATION,MEDIUM
